id pc1 pc2 pc3 pc4 pc5 pc6 pc7
1441 -0.0020735 0.0156176 -0.034429800000000003 0.0254064 0.0221206 0.0148269 0.0329375
1485 0.00678771 0.00381466 -0.0126864 -0.0106774 0.00772672 -0.0213352 -0.00631199
1486 0.0265236 0.00743215 -0.00202502 0.0162392 0.00646322 -0.00849388 -0.00204186
1487 -0.0234062 -0.00769124 -0.0206242 0.00609222 -6.25683e-4 0.0157605 0.0440394
1488 0.0430445 0.0279941 -0.0252521 -0.0322303 0.0142116 -0.0256279 0.00642401
1489 0.012008 0.0272675 -0.0164605 -0.00854914 0.0192271 -0.00498234 -0.0919524
1490 0.0342989 -0.0184141 -0.00110466 0.0539713 0.0125446 -0.00462563 0.0244409
1491 -0.0415257 0.0178012 -0.00133295 -0.0157193 -0.0291565 0.0106841 -0.0023439
1492 0.016758 0.00599059 0.00699516 -0.00262995 -0.0199703 -0.0251569 0.0255226
1493 -0.0232202 0.0102885 0.0333684 -0.00630869 0.00223836 0.0176778 -0.0161347
1494 0.0306205 0.0130693 -0.0184713 -0.0172212 -0.0139464 -0.0182691 -0.00693536
1495 -0.0212651 0.0324919 0.0234388 -0.014091 0.0645703 0.022014 -0.040273
1496 0.0266703 -0.00395324 0.0173613 -0.0109409 0.0126034 -0.00532679 0.0126266
1497 -0.00818827 -0.0248874 -0.00443251 -0.0142629 -0.00837822 -0.0193928 0.0170012
1498 0.0495883 0.00656241 0.032596 -0.00959208 -0.0540021 0.0183217 -0.00595865
1500 -0.0130011 0.023439 -0.00730781 0.0340482 -0.00763167 0.0104686 0.0234801
1501 -0.0214811 0.0035061100000000002 0.010898 -0.0187274 0.0224545 0.0258198 -0.0132186
1502 0.017129 0.0177925 0.0211929 -0.0161913 -0.00256057 0.00656548 0.0152485
1503 -0.034157 0.0265999 0.0528582 0.00320516 6.74875e-4 0.0182681 -0.00206996
1504 0.0100487 0.035735 -0.0497005 0.0176562 -0.0276386 -0.0172818 0.0354712
1505 -0.00487119 -0.00237337 -0.0282195 -0.0525729 0.0261349 -0.0114141 0.0114321
